,Unnamed: 0,Sex,Single Year of Age,Administrative Counties,VALUE
1240,4577,Male,40,Carlow County Council,494
1241,4578,Male,40,Dublin City Council,4961
1242,4579,Male,40,Dún Laoghaire Rathdown County Council,1736
1243,4580,Male,40,Fingal County Council,2973
1244,4581,Male,40,South Dublin County Council,2575
1245,4582,Male,40,Kildare County Council,2090
1246,4583,Male,40,Kilkenny County Council,810
1247,4584,Male,40,Laois County Council,747
1248,4585,Male,40,Longford County Council,396
1249,4586,Male,40,Louth County Council,1119
1250,4587,Male,40,Meath County Council,1787
1251,4588,Male,40,Offaly County Council,691
1252,4589,Male,40,Westmeath County Council,723
1253,4590,Male,40,Wexford County Council,1172
1254,4591,Male,40,Wicklow County Council,1176
1255,4592,Male,40,Clare County Council,907
1256,4593,Male,40,Cork City Council,1750
1257,4594,Male,40,Cork County Council,2744
1258,4595,Male,40,Kerry County Council,1112
1259,4596,Male,40,Limerick City & County Council,1637
1260,4597,Male,40,Tipperary County Council,1226
1261,4598,Male,40,Waterford City & County Council,898
1262,4599,Male,40,Galway City Council,707
1263,4600,Male,40,Galway County Council,1443
1264,4601,Male,40,Leitrim County Council,245
1265,4602,Male,40,Mayo  County Council,943
1266,4603,Male,40,Roscommon County Council,489
1267,4604,Male,40,Sligo County Council,491
1268,4605,Male,40,Cavan County Council,633
1269,4606,Male,40,Donegal County Council,1149
1270,4607,Male,40,Monaghan County Council,477
4371,7841,Female,40,Carlow County Council,487
4372,7842,Female,40,Dublin City Council,4809
4373,7843,Female,40,Dún Laoghaire Rathdown County Council,1910
4374,7844,Female,40,Fingal County Council,3131
4375,7845,Female,40,South Dublin County Council,2822
4376,7846,Female,40,Kildare County Council,2276
4377,7847,Female,40,Kilkenny County Council,776
4378,7848,Female,40,Laois County Council,814
4379,7849,Female,40,Longford County Council,409
4380,7850,Female,40,Louth County Council,1170
4381,7851,Female,40,Meath County Council,1927
4382,7852,Female,40,Offaly County Council,706
4383,7853,Female,40,Westmeath County Council,781
4384,7854,Female,40,Wexford County Council,1347
4385,7855,Female,40,Wicklow County Council,1400
4386,7856,Female,40,Clare County Council,999
4387,7857,Female,40,Cork City Council,1879
4388,7858,Female,40,Cork County Council,3058
4389,7859,Female,40,Kerry County Council,1239
4390,7860,Female,40,Limerick City & County Council,1657
4391,7861,Female,40,Tipperary County Council,1297
4392,7862,Female,40,Waterford City & County Council,978
4393,7863,Female,40,Galway City Council,687
4394,7864,Female,40,Galway County Council,1652
4395,7865,Female,40,Leitrim County Council,271
4396,7866,Female,40,Mayo  County Council,1126
4397,7867,Female,40,Roscommon County Council,556
4398,7868,Female,40,Sligo County Council,538
4399,7869,Female,40,Cavan County Council,630
4400,7870,Female,40,Donegal County Council,1293
4401,7871,Female,40,Monaghan County Council,518
